,Numero,Direccion,EntidadFederativaId,MunicipioId,Nombre,Apoyo 2
18759,PL/4900/EXP/ES/2015,Josefa Ortiz de Dominguez No. 135,Morelos,Jojutla,ALFREDO ZEPEDA HUICOCHEA,4900
18762,PL/4901/EXP/ES/2015,Avenida Reforma No. 2922,Puebla,Puebla,Servicio Vanoe S.A. de C.V.,4901
18764,PL/4902/EXP/ES/2015,Norte 79a Esquina Camarones No. 284,Ciudad de México,Azcapotzalco,Operadora de Gasolineria El Coteron S.A. de C.V.,4902
18767,PL/4903/EXP/ES/2015,Calle No. 300 Norte,Sinaloa,Angostura,SERVICIO EL HUIZACHE DE AGUSTINA RAMIREZ SA DE CV,4903
18769,PL/4904/EXP/ES/2015,Vialidad José López Portillo No. 300,México,Toluca,Servicio Maralva S.A. de C.V.,4904
18771,PL/4905/EXP/ES/2015,Carretera México-Toluca Km 42.05 Margen Derecho,México,Ocoyoacac,Superservicio Carretero S.A. de C.V.,4905
18774,PL/4906/EXP/ES/2015,Carretera México-Acapulco Km 114 Puente de Ixtla,Morelos,Puente de Ixtla,SERVICIO IXTLA SA DE CV,4906
18777,PL/4907/EXP/ES/2015,María del Refugio Alejandre Tarello No. 101-103-105,México,Toluca,Servicio Alpes S.A. de C.V.,4907
18780,PL/4908/EXP/ES/2015,Calzada Al Pacifico No. 101,México,Toluca,Servicio Pontevedra S.A. de C.V.,4908
18783,PL/4909/EXP/ES/2015,Comonfort Esquina Pino Suarez No. 350,México,Toluca,Servicio Asuncion S.A. de C.V.,4909
18786,PL/491/EXP/ES/2015,División del Norte No. 39 Esquina Boulevard Internacional,Tamaulipas,Matamoros,"PETROMAX, S.A. DE C.V.",491
18788,PL/4910/EXP/ES/2015,17 Poniente 1128,Puebla,San Pedro Cholula,Grupo Inovasión S.A. de C.V. ,4910
18791,PL/4911/EXP/ES/2015,Vialidad Adolfo López Mateos No. 111-A,México,Zinacantepec,Operadora de Gasolineras A.P. S.A. de C.V.,4911
18794,PL/4912/EXP/ES/2015,Avenida 24 de Junio No. 114,Guanajuato,Valle de Santiago,ESAU GUILLERMO MOSQUEDA GONZALEZ,4912
